candidate,party,office,district,votes,precinct
Rick Lopes,Democratic Party,State Senate,Berlin,222,American Legion
Gennaro Bizzarro,Republican Party,State Senate,Berlin,368,American Legion
Rick Lopes,Working Families Party,State Senate,Berlin,18,American Legion
Rick Lopes,Democratic Party,State Senate,New Britain,66,Angelico's Restaurant
Gennaro Bizzarro,Republican Party,State Senate,New Britain,21,Angelico's Restaurant
Rick Lopes,Working Families Party,State Senate,New Britain,6,Angelico's Restaurant
Saud Anwar,Democratic Party,State Senate,East Hartford,257,Anna Norris School
Sarah A. Muska,Republican Party,State Senate,East Hartford,92,Anna Norris School
Derek Slap,Democratic Party,State Senate,West Hartford,728,Braeburn School
Bill Wadsworth,Republican Party,State Senate,West Hartford,240,Braeburn School
Jeffrey F. Przech,Independent Party,State Senate,West Hartford,14,Braeburn School
Mark Stewart Greenstein,Amigo Constitution Liberty Party,State Senate,West Hartford,3,Braeburn School
Derek Slap,Democratic Party,State Senate,West Hartford,592,Bristow Middle School
Bill Wadsworth,Republican Party,State Senate,West Hartford,180,Bristow Middle School
Jeffrey F. Przech,Independent Party,State Senate,West Hartford,14,Bristow Middle School
Mark Stewart Greenstein,Amigo Constitution Liberty Party,State Senate,West Hartford,11,Bristow Middle School
Rick Lopes,Democratic Party,State Senate,New Britain,94,Chamberlain School
Gennaro Bizzarro,Republican Party,State Senate,New Britain,68,Chamberlain School
Rick Lopes,Working Families Party,State Senate,New Britain,12,Chamberlain School
Saud Anwar,Democratic Party,State Senate,South Windsor,322,Charles Enes Community Center
Sarah A. Muska,Republican Party,State Senate,South Windsor,208,Charles Enes Community Center
Derek Slap,Democratic Party,State Senate,Farmington,329,Community Center - District 2 Precinct 6
Derek Slap,Democratic Party,State Senate,Farmington,329,Community Center - District 2 Precinct 6
Bill Wadsworth,Republican Party,State Senate,Farmington,465,Community Center - District 2 Precinct 6
Bill Wadsworth,Republican Party,State Senate,Farmington,465,Community Center - District 2 Precinct 6
Jeffrey F. Przech,Independent Party,State Senate,Farmington,27,Community Center - District 2 Precinct 6
Jeffrey F. Przech,Independent Party,State Senate,Farmington,27,Community Center - District 2 Precinct 6
Mark Stewart Greenstein,Amigo Constitution Liberty Party,State Senate,Farmington,1,Community Center - District 2 Precinct 6
Mark Stewart Greenstein,Amigo Constitution Liberty Party,State Senate,Farmington,1,Community Center - District 2 Precinct 6
Derek Slap,Democratic Party,State Senate,West Hartford,415,Conard High School
Bill Wadsworth,Republican Party,State Senate,West Hartford,195,Conard High School
Jeffrey F. Przech,Independent Party,State Senate,West Hartford,8,Conard High School
Mark Stewart Greenstein,Amigo Constitution Liberty Party,State Senate,West Hartford,3,Conard High School
Josh Balter,Democratic Party,State House,East Haven,32,Deer Run School 3-S
Joseph Zullo,Republican Party,State House,East Haven,34,Deer Run School 3-S
Josh Balter,Working Families Party,State House,East Haven,2,Deer Run School 3-S
Joseph Zullo,Independent Party,State House,East Haven,2,Deer Run School 3-S
Rick Lopes,Democratic Party,State Senate,New Britain,201,Diloreto School
Gennaro Bizzarro,Republican Party,State Senate,New Britain,128,Diloreto School
Rick Lopes,Working Families Party,State Senate,New Britain,13,Diloreto School
Josh Balter,Democratic Party,State House,East Haven,15,East Farm Village 1-S
Joseph Zullo,Republican Party,State House,East Haven,39,East Farm Village 1-S
