candidate,party,office,district,town,votes,precinct
Hubert Douglas Delany,Democratic Party,State House,144,Stamford,454,Dolan Middle School
Danny Melchionne,Republican Party,State House,144,Stamford,320,Dolan Middle School
Hubert Douglas Delany,Democratic Party,State House,144,Stamford,392,Rippowam Middle School
Danny Melchionne,Republican Party,State House,144,Stamford,318,Rippowam Middle School
Hubert Douglas Delany,Democratic Party,State House,144,Stamford,175,Stillmeadow School
Danny Melchionne,Republican Party,State House,144,Stamford,116,Stillmeadow School
Hubert Douglas Delany,Democratic Party,State House,144,Stamford,320,Turn Of River School
Hubert Douglas Delany,Democratic Party,State House,144,Stamford,320,Turn Of River School
Danny Melchionne,Republican Party,State House,144,Stamford,253,Turn Of River School
Danny Melchionne,Republican Party,State House,144,Stamford,316,Turn Of River School
