candidate,party,office,district,town,votes,precinct
Ned Lamont and Susan Bysiewicz,Democratic Party,Governor and Lieutenant Governor,,Andover,793,Andover Town Hall
Bob Stefanowski and Laura Devlin,Republican Party,Governor and Lieutenant Governor,,Andover,817,Andover Town Hall
Ned Lamont and Susan Bysiewicz,Griebel Frank for CT Party,Governor and Lieutenant Governor,,Andover,2,Andover Town Hall
"Robert Hotaling and Stewart ""Chip"" Beckett",Independent Party,Governor and Lieutenant Governor,,Andover,23,Andover Town Hall
Ned Lamont and Susan Bysiewicz,Working Families Party,Governor and Lieutenant Governor,,Andover,24,Andover Town Hall
Michelle Louise Bicking and Cassandra A. Martineau,Write In,Governor and Lieutenant Governor,,Andover,0,Andover Town Hall
Richard Blumenthal,Democratic Party,U.S. Senate,,Andover,827,Andover Town Hall
Leora R. Levy,Republican Party,U.S. Senate,,Andover,785,Andover Town Hall
Richard Blumenthal,Working Families Party,U.S. Senate,,Andover,33,Andover Town Hall
John Anderson,Write In,U.S. Senate,,Andover,0,Andover Town Hall
Shabadjob Bharara,Write In,U.S. Senate,,Andover,0,Andover Town Hall
Joe Courtney,Democratic Party,U.S. House,02,Andover,910,Andover Town Hall
Mike France,Republican Party,U.S. House,02,Andover,719,Andover Town Hall
William Hall,Libertarian Party,U.S. House,02,Andover,13,Andover Town Hall
Kevin Blacker,Green Party,U.S. House,02,Andover,9,Andover Town Hall
MD Rahman,Democratic Party,State Senate,4,Andover,744,Andover Town Hall
Jacqueline Crespan,Republican Party,State Senate,4,Andover,861,Andover Town Hall
MD Rahman,Working Families Party,State Senate,4,Andover,29,Andover Town Hall
Wes Skorski,Democratic Party,State House,55,Andover,782,Andover Town Hall
Steve Weir,Republican Party,State House,55,Andover,861,Andover Town Hall
Stephanie Thomas,Democratic Party,Secretary of the State,,Andover,778,Andover Town Hall
Dominic Rapini,Republican Party,Secretary of the State,,Andover,794,Andover Town Hall
Cynthia R. Jennings,Independent Party,Secretary of the State,,Andover,31,Andover Town Hall
Stephanie Thomas,Working Families Party,Secretary of the State,,Andover,35,Andover Town Hall
Erick Russell,Democratic Party,Treasurer,,Andover,750,Andover Town Hall
Harry Arora,Republican Party,Treasurer,,Andover,804,Andover Town Hall
Jennifer Baldwin,Independent Party,Treasurer,,Andover,28,Andover Town Hall
Erick Russell,Working Families Party,Treasurer,,Andover,30,Andover Town Hall
JoAnna Laiscell,Libertarian Party,Treasurer,,Andover,21,Andover Town Hall
Sean Scanlon,Democratic Party,Comptroller,,Andover,740,Andover Town Hall
Mary Fay,Republican Party,Comptroller,,Andover,832,Andover Town Hall
Sean Scanlon,Independent Party,Comptroller,,Andover,25,Andover Town Hall
Sean Scanlon,Working Families Party,Comptroller,,Andover,27,Andover Town Hall
William Tong,Democratic Party,Attorney General,,Andover,809,Andover Town Hall
Jessica Kordas,Republican Party,Attorney General,,Andover,781,Andover Town Hall
A.P. Pascarella,Independent Party,Attorney General,,Andover,9,Andover Town Hall
William Tong,Working Families Party,Attorney General,,Andover,28,Andover Town Hall
Ken Krayeske,Green Party,Attorney General,,Andover,16,Andover Town Hall
Mike Darby,Democratic Party,Judge of Probate,13,Andover,794,Andover Town Hall
Mike Darby,Republican Party,Judge of Probate,13,Andover,805,Andover Town Hall
Ned Lamont and Susan Bysiewicz,Democratic Party,Governor and Lieutenant Governor,,Ansonia,383,Ward 1 Ansonia Armory
Bob Stefanowski and Laura Devlin,Republican Party,Governor and Lieutenant Governor,,Ansonia,314,Ward 1 Ansonia Armory
Ned Lamont and Susan Bysiewicz,Griebel Frank for CT Party,Governor and Lieutenant Governor,,Ansonia,2,Ward 1 Ansonia Armory
"Robert Hotaling and Stewart ""Chip"" Beckett",Independent Party,Governor and Lieutenant Governor,,Ansonia,12,Ward 1 Ansonia Armory
Ned Lamont and Susan Bysiewicz,Working Families Party,Governor and Lieutenant Governor,,Ansonia,12,Ward 1 Ansonia Armory
Michelle Louise Bicking and Cassandra A. Martineau,Write In,Governor and Lieutenant Governor,,Ansonia,0,Ward 1 Ansonia Armory
Richard Blumenthal,Democratic Party,U.S. Senate,,Ansonia,394,Ward 1 Ansonia Armory
Leora R. Levy,Republican Party,U.S. Senate,,Ansonia,319,Ward 1 Ansonia Armory
