candidate,party,office,district,town,votes,precinct
Maritza Bond,Democratic Party,Secretary of the State,,Plainfield,9,1 Town Hall
Maritza Bond,Democratic Party,Secretary of the State,,Plainfield,21,1 Town Hall
Stephanie Thomas,Democratic Party,Secretary of the State,,Plainfield,41,1 Town Hall
Stephanie Thomas,Democratic Party,Secretary of the State,,Plainfield,70,1 Town Hall
Dita Bhargava,Democratic Party,Treasurer,,Plainfield,8,1 Town Hall
Dita Bhargava,Democratic Party,Treasurer,,Plainfield,19,1 Town Hall
Erick Russell,Democratic Party,Treasurer,,Plainfield,34,1 Town Hall
Erick Russell,Democratic Party,Treasurer,,Plainfield,53,1 Town Hall
Karen Dubois-Walton,Democratic Party,Treasurer,,Plainfield,8,1 Town Hall
Karen Dubois-Walton,Democratic Party,Treasurer,,Plainfield,20,1 Town Hall
Dominic Rapini,Republican Party,Secretary of the State,,Plainfield,40,1 Town Hall
Dominic Rapini,Republican Party,Secretary of the State,,Plainfield,81,1 Town Hall
Terrie E. Wood,Republican Party,Secretary of the State,,Plainfield,24,1 Town Hall
Terrie E. Wood,Republican Party,Secretary of the State,,Plainfield,70,1 Town Hall
Leora R. Levy,Republican Party,U.S. Senate,,Plainfield,34,1 Town Hall
Leora R. Levy,Republican Party,U.S. Senate,,Plainfield,96,1 Town Hall
Peter Lumaj,Republican Party,U.S. Senate,,Plainfield,11,1 Town Hall
Peter Lumaj,Republican Party,U.S. Senate,,Plainfield,11,1 Town Hall
Themis Klarides,Republican Party,U.S. Senate,,Plainfield,19,1 Town Hall
Themis Klarides,Republican Party,U.S. Senate,,Plainfield,45,1 Town Hall
Maritza Bond,Democratic Party,Secretary of the State,,Plainfield,26,3 Moosup Fire Station
Stephanie Thomas,Democratic Party,Secretary of the State,,Plainfield,69,3 Moosup Fire Station
Dita Bhargava,Democratic Party,Treasurer,,Plainfield,23,3 Moosup Fire Station
Erick Russell,Democratic Party,Treasurer,,Plainfield,56,3 Moosup Fire Station
Karen Dubois-Walton,Democratic Party,Treasurer,,Plainfield,16,3 Moosup Fire Station
Dominic Rapini,Republican Party,Secretary of the State,,Plainfield,74,3 Moosup Fire Station
Terrie E. Wood,Republican Party,Secretary of the State,,Plainfield,76,3 Moosup Fire Station
Leora R. Levy,Republican Party,U.S. Senate,,Plainfield,101,3 Moosup Fire Station
Peter Lumaj,Republican Party,U.S. Senate,,Plainfield,19,3 Moosup Fire Station
Themis Klarides,Republican Party,U.S. Senate,,Plainfield,37,3 Moosup Fire Station
Maritza Bond,Democratic Party,Secretary of the State,,Windsor,86,330 Windsor Avenue
Stephanie Thomas,Democratic Party,Secretary of the State,,Windsor,341,330 Windsor Avenue
Dita Bhargava,Democratic Party,Treasurer,,Windsor,52,330 Windsor Avenue
Erick Russell,Democratic Party,Treasurer,,Windsor,277,330 Windsor Avenue
Karen Dubois-Walton,Democratic Party,Treasurer,,Windsor,96,330 Windsor Avenue
Dominic Rapini,Republican Party,Secretary of the State,,Windsor,36,330 Windsor Avenue
Terrie E. Wood,Republican Party,Secretary of the State,,Windsor,28,330 Windsor Avenue
Leora R. Levy,Republican Party,U.S. Senate,,Windsor,36,330 Windsor Avenue
Peter Lumaj,Republican Party,U.S. Senate,,Windsor,9,330 Windsor Avenue
Themis Klarides,Republican Party,U.S. Senate,,Windsor,23,330 Windsor Avenue
Maritza Bond,Democratic Party,Secretary of the State,,Guilford,74,A.W. Cox School
Stephanie Thomas,Democratic Party,Secretary of the State,,Guilford,306,A.W. Cox School
Andy Gottlieb,Democratic Party,State House,98,Guilford,87,A.W. Cox School
Moira Rader,Democratic Party,State House,98,Guilford,303,A.W. Cox School
Dita Bhargava,Democratic Party,Treasurer,,Guilford,77,A.W. Cox School
Erick Russell,Democratic Party,Treasurer,,Guilford,234,A.W. Cox School
Karen Dubois-Walton,Democratic Party,Treasurer,,Guilford,68,A.W. Cox School
Dominic Rapini,Republican Party,Secretary of the State,,Guilford,87,A.W. Cox School
Terrie E. Wood,Republican Party,Secretary of the State,,Guilford,37,A.W. Cox School
Leora R. Levy,Republican Party,U.S. Senate,,Guilford,71,A.W. Cox School
Peter Lumaj,Republican Party,U.S. Senate,,Guilford,9,A.W. Cox School
Themis Klarides,Republican Party,U.S. Senate,,Guilford,52,A.W. Cox School
Maritza Bond,Democratic Party,Secretary of the State,,Guilford,86,Abraham Baldwin School
Stephanie Thomas,Democratic Party,Secretary of the State,,Guilford,296,Abraham Baldwin School
Andy Gottlieb,Democratic Party,State House,98,Guilford,124,Abraham Baldwin School
Moira Rader,Democratic Party,State House,98,Guilford,265,Abraham Baldwin School
Dita Bhargava,Democratic Party,Treasurer,,Guilford,83,Abraham Baldwin School
Erick Russell,Democratic Party,Treasurer,,Guilford,239,Abraham Baldwin School
Karen Dubois-Walton,Democratic Party,Treasurer,,Guilford,61,Abraham Baldwin School
Dominic Rapini,Republican Party,Secretary of the State,,Guilford,153,Abraham Baldwin School
Terrie E. Wood,Republican Party,Secretary of the State,,Guilford,64,Abraham Baldwin School
Leora R. Levy,Republican Party,U.S. Senate,,Guilford,131,Abraham Baldwin School
Peter Lumaj,Republican Party,U.S. Senate,,Guilford,13,Abraham Baldwin School
Themis Klarides,Republican Party,U.S. Senate,,Guilford,88,Abraham Baldwin School
Maritza Bond,Democratic Party,Secretary of the State,,Colchester,41,Abundant Life Church
Stephanie Thomas,Democratic Party,Secretary of the State,,Colchester,126,Abundant Life Church
Dita Bhargava,Democratic Party,Treasurer,,Colchester,46,Abundant Life Church
Erick Russell,Democratic Party,Treasurer,,Colchester,99,Abundant Life Church
Karen Dubois-Walton,Democratic Party,Treasurer,,Colchester,22,Abundant Life Church
Dominic Rapini,Republican Party,Secretary of the State,,Colchester,116,Abundant Life Church
Terrie E. Wood,Republican Party,Secretary of the State,,Colchester,84,Abundant Life Church
Leora R. Levy,Republican Party,U.S. Senate,,Colchester,115,Abundant Life Church
Peter Lumaj,Republican Party,U.S. Senate,,Colchester,14,Abundant Life Church
Themis Klarides,Republican Party,U.S. Senate,,Colchester,81,Abundant Life Church
Maritza Bond,Democratic Party,Secretary of the State,,Norwich,18,Ahepa-110 Community Room
Stephanie Thomas,Democratic Party,Secretary of the State,,Norwich,39,Ahepa-110 Community Room
Dita Bhargava,Democratic Party,Treasurer,,Norwich,14,Ahepa-110 Community Room
Erick Russell,Democratic Party,Treasurer,,Norwich,28,Ahepa-110 Community Room
Karen Dubois-Walton,Democratic Party,Treasurer,,Norwich,18,Ahepa-110 Community Room
Dominic Rapini,Republican Party,Secretary of the State,,Norwich,30,Ahepa-110 Community Room
Terrie E. Wood,Republican Party,Secretary of the State,,Norwich,31,Ahepa-110 Community Room
Leora R. Levy,Republican Party,U.S. Senate,,Norwich,30,Ahepa-110 Community Room
Peter Lumaj,Republican Party,U.S. Senate,,Norwich,15,Ahepa-110 Community Room
Themis Klarides,Republican Party,U.S. Senate,,Norwich,13,Ahepa-110 Community Room
Maritza Bond,Democratic Party,Secretary of the State,,Hartford,25,Alfred Burr Middle School
Stephanie Thomas,Democratic Party,Secretary of the State,,Hartford,37,Alfred Burr Middle School
Dita Bhargava,Democratic Party,Treasurer,,Hartford,15,Alfred Burr Middle School
Erick Russell,Democratic Party,Treasurer,,Hartford,30,Alfred Burr Middle School
Karen Dubois-Walton,Democratic Party,Treasurer,,Hartford,11,Alfred Burr Middle School
Dominic Rapini,Republican Party,Secretary of the State,,Hartford,2,Alfred Burr Middle School
Terrie E. Wood,Republican Party,Secretary of the State,,Hartford,4,Alfred Burr Middle School
Leora R. Levy,Republican Party,U.S. Senate,,Hartford,3,Alfred Burr Middle School
