candidate,party,office,district,town,votes,precinct
Tara B. Ochman,Democratic Party,Board of Education - Darien,,Darien,577,District 1 - 35 Leroy Avenue Municipal Building
D. Jill McCammon,Republican Party,Board of Education - Darien,,Darien,1252,District 1 - 35 Leroy Avenue Municipal Building
Christa S. McNamara,Republican Party,Board of Education - Darien,,Darien,1391,District 1 - 35 Leroy Avenue Municipal Building
Tara B. Ochman,Democratic Party,Board of Education - Darien,,Darien,610,District 2 - Darien Town Hall
D. Jill McCammon,Republican Party,Board of Education - Darien,,Darien,1149,District 2 - Darien Town Hall
Christa S. McNamara,Republican Party,Board of Education - Darien,,Darien,1262,District 2 - Darien Town Hall
Tara B. Ochman,Democratic Party,Board of Education - Darien,,Darien,732,District 3 - Noroton Heights Fire Department
D. Jill McCammon,Republican Party,Board of Education - Darien,,Darien,1054,District 3 - Noroton Heights Fire Department
Christa S. McNamara,Republican Party,Board of Education - Darien,,Darien,1232,District 3 - Noroton Heights Fire Department
Tara B. Ochman,Democratic Party,Board of Education - Darien,,Darien,695,District 4 - Hindley School Gymnasium Entrance
D. Jill McCammon,Republican Party,Board of Education - Darien,,Darien,1122,District 4 - Hindley School Gymnasium Entrance
Christa S. McNamara,Republican Party,Board of Education - Darien,,Darien,1234,District 4 - Hindley School Gymnasium Entrance
Tara B. Ochman,Democratic Party,Board of Education - Darien,,Darien,844,District 5 - Darien Town Hall
D. Jill McCammon,Republican Party,Board of Education - Darien,,Darien,1125,District 5 - Darien Town Hall
Christa S. McNamara,Republican Party,Board of Education - Darien,,Darien,1299,District 5 - Darien Town Hall
Tara B. Ochman,Democratic Party,Board of Education - Darien,,Darien,751,District 6 - 35 Leroy Avenue Municipal Building
D. Jill McCammon,Republican Party,Board of Education - Darien,,Darien,1201,District 6 - 35 Leroy Avenue Municipal Building
Christa S. McNamara,Republican Party,Board of Education - Darien,,Darien,1294,District 6 - 35 Leroy Avenue Municipal Building
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,2160,Agudath Sholom
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,2034,Agudath Sholom
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1308,Agudath Sholom
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,638,Agudath Sholom
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,766,Cloonan Middle School -Side
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,740,Cloonan Middle School -Side
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,448,Cloonan Middle School -Side
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,91,Cloonan Middle School -Side
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1349,Davenport Ridge School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1420,Davenport Ridge School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1608,Davenport Ridge School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,282,Davenport Ridge School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1853,Dolan Middle School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1823,Dolan Middle School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1600,Dolan Middle School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,353,Dolan Middle School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1237,Domus - The Old Rogers School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1164,Domus - The Old Rogers School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,561,Domus - The Old Rogers School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,139,Domus - The Old Rogers School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1058,Julia A Stark School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1005,Julia A Stark School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,534,Julia A Stark School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,139,Julia A Stark School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,852,Long Ridge Church
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,860,Long Ridge Church
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,786,Long Ridge Church
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,214,Long Ridge Church
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1334,Murphy School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1317,Murphy School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1023,Murphy School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,251,Murphy School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,608,Northeast School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,652,Northeast School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,616,Northeast School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,116,Northeast School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,2345,Our Lady Star Of The Sea
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,2293,Our Lady Star Of The Sea
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1781,Our Lady Star Of The Sea
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,410,Our Lady Star Of The Sea
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1392,Rippowam Middle School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1413,Rippowam Middle School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1326,Rippowam Middle School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,267,Rippowam Middle School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1593,Roxbury School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1591,Roxbury School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1706,Roxbury School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,421,Roxbury School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1341,Saint Bridget Church Hall
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1360,Saint Bridget Church Hall
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,812,Saint Bridget Church Hall
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,384,Saint Bridget Church Hall
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1230,Salvation Army Community Center
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1161,Salvation Army Community Center
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,538,Salvation Army Community Center
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,124,Salvation Army Community Center
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,2021,Scofield Middle School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,2063,Scofield Middle School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1885,Scofield Middle School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,409,Scofield Middle School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1680,Springdale School -Rear
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1717,Springdale School -Rear
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1340,Springdale School -Rear
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,322,Springdale School -Rear
