county,precinct,office,district,party,,poll,abs,edr,unknown,
Fairfield,Danbury 1-109,Governor,,REP,Thomas C. Foley,45,0,0,0,
Fairfield,Danbury 1-109,Governor,,IND,Thomas C. Foley,8,0,0,0,
Fairfield,Danbury 1-109,Governor,,DEM,Dannel P. Malloy,93,0,0,5,
Fairfield,Danbury 1-109,Governor,,WF,Dannel P. Malloy,11,0,0,0,
Fairfield,Danbury 1-109,Governor,,PC,Joe Visconti,1,0,0,0,
Fairfield,Danbury 1-109,Governor,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 1-109,U.S. House,5,REP,Mark Greenberg,41,0,0,0,
Fairfield,Danbury 1-109,U.S. House,5,IND,Mark Greenberg,3,0,0,0,
Fairfield,Danbury 1-109,U.S. House,5,DEM,Elizabeth Esty,100,0,0,4,
Fairfield,Danbury 1-109,U.S. House,5,WF,Elizabeth Esty,10,0,0,0,
Fairfield,Danbury 1-109,U.S. House,5,write-in,John Pistone,0,0,0,0,
Fairfield,Danbury 1-109,State Senate,24,REP,Michael McLachlan,54,0,0,2,
Fairfield,Danbury 1-109,State Senate,24,WF,Theodore Feng,28,0,0,0,
Fairfield,Danbury 1-109,State Senate,24,IND,Michael McLachlan,11,0,0,0,
Fairfield,Danbury 1-109,State Assembly,109,REP,Josh Stanley,35,0,0,0,
Fairfield,Danbury 1-109,State Assembly,109,DEM,David Arconti,99,0,0,6,
Fairfield,Danbury 1-109,State Assembly,109,WF,David Arconti,11,0,0,0,
Fairfield,Danbury 1-109,State Assembly,109,IND,Josh Stanley,7,0,0,0,
Fairfield,Danbury 1-109,Secretary of State,,REP,Peter Lumaj,45,0,0,0,
Fairfield,Danbury 1-109,Secretary of State,,IND,Peter Lumaj,1,0,0,0,
Fairfield,Danbury 1-109,Secretary of State,,DEM,Denise Merrill,83,0,0,4,
Fairfield,Danbury 1-109,Secretary of State,,WF,Denise Merrill,12,0,0,0,
Fairfield,Danbury 1-109,Secretary of State,,Green,Michael DeRosa,5,0,0,0,
Fairfield,Danbury 1-109,State Treasurer,,REP,Tim Herbst,44,0,0,0,
Fairfield,Danbury 1-109,State Treasurer,,IND,Tim Herbst,4,0,0,0,
Fairfield,Danbury 1-109,State Treasurer,,DEM,Denise Nappier,92,0,0,4,
Fairfield,Danbury 1-109,State Treasurer,,WF,Denise Nappier,11,0,0,0,
Fairfield,Danbury 1-109,Comptroller,,REP,Sharon McLaughlin,46,0,0,0,
Fairfield,Danbury 1-109,Comptroller,,IND,Sharon McLaughlin,3,0,0,0,
Fairfield,Danbury 1-109,Comptroller,,DEM,Kevin Lembo,83,0,0,4,
Fairfield,Danbury 1-109,Comptroller,,WF,Kevin Lembo,11,0,0,0,
Fairfield,Danbury 1-109,Comptroller,,Green,Rolf Maurer,4,0,0,0,
Fairfield,Danbury 1-109,Comptroller,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 1-109,Attorney General,,REP,Kie Westby,42,0,0,0,
Fairfield,Danbury 1-109,Attorney General,,IND,Kie Westby,3,0,0,0,
Fairfield,Danbury 1-109,Attorney General,,DEM,George Jepsen,89,4,0,0,
Fairfield,Danbury 1-109,Attorney General,,WF,George Jepsen,10,0,0,0,
Fairfield,Danbury 1-109,Attorney General,,Green,Stephen Fournier,4,0,0,0,
Fairfield,Danbury 1-110,Governor,,REP,Thomas C. Foley,25,0,0,0,
Fairfield,Danbury 1-110,Governor,,IND,Thomas C. Foley,1,0,0,0,
Fairfield,Danbury 1-110,Governor,,DEM,Dannel P. Malloy,35,0,0,4,
Fairfield,Danbury 1-110,Governor,,WF,Dannel P. Malloy,4,0,0,0,
Fairfield,Danbury 1-110,Governor,,PC,Joe Visconti,1,0,0,0,
Fairfield,Danbury 1-110,Governor,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 1-110,U.S. House,5,REP,Mark Greenberg,27,0,0,0,
Fairfield,Danbury 1-110,U.S. House,5,IND,Mark Greenberg,1,0,0,0,
Fairfield,Danbury 1-110,U.S. House,5,DEM,Elizabeth Esty,34,0,0,3,
Fairfield,Danbury 1-110,U.S. House,5,WF,Elizabeth Esty,5,0,0,0,
Fairfield,Danbury 1-110,U.S. House,5,write-in,John Pistone,0,0,0,0,
Fairfield,Danbury 1-110,State Senate,24,REP,Michael McLachlan,36,0,0,0,
