county,precinct,office,district,party,candidate,election_day,absentee,edr,votes
Fairfield,Norwalk 137A Marvin,Governor,,Rep,Thomas Foley,1093,64,16,1173
Fairfield,Norwalk 137A Marvin,Governor,,Ind,Thomas Foley,26,2,2,30
Fairfield,Norwalk 137A Marvin,Governor,,Dem,Dannel Malloy,1477,75,31,1583
Fairfield,Norwalk 137A Marvin,Governor,,WF,Dannel Malloy,68,0,1,69
Fairfield,Norwalk 137A Marvin,Governor,,PC,Joe Visconti,22,0,1,23
Fairfield,Norwalk 137A Marvin,Governor,,write-in,write-in,4,0,0,4
Fairfield,Norwalk 137B St Marys,Governor,,Rep,Thomas Foley,261,5,5,271
Fairfield,Norwalk 137B St Marys,Governor,,Ind,Thomas Foley,11,0,0,11
Fairfield,Norwalk 137B St Marys,Governor,,Dem,Dannel Malloy,622,22,21,665
Fairfield,Norwalk 137B St Marys,Governor,,WF,Dannel Malloy,26,1,0,27
Fairfield,Norwalk 137B St Marys,Governor,,PC,Joe Visconti,3,0,0,3
Fairfield,Norwalk 137B St Marys,Governor,,write-in,write-in,2,0,0,2
Fairfield,Norwalk 137C Tracey,Governor,,Rep,Thomas Foley,778,29,13,820
Fairfield,Norwalk 137C Tracey,Governor,,Ind,Thomas Foley,34,1,0,35
Fairfield,Norwalk 137C Tracey,Governor,,Dem,Dannel Malloy,1204,39,14,1257
Fairfield,Norwalk 137C Tracey,Governor,,WF,Dannel Malloy,58,2,3,63
Fairfield,Norwalk 137C Tracey,Governor,,PC,Joe Visconti,10,0,0,10
Fairfield,Norwalk 137C Tracey,Governor,,write-in,write-in,5,0,1,6
Fairfield,Norwalk 140A Kendall,Governor,,Rep,Thomas Foley,413,16,4,433
Fairfield,Norwalk 140A Kendall,Governor,,Ind,Thomas Foley,22,1,0,23
Fairfield,Norwalk 140A Kendall,Governor,,Dem,Dannel Malloy,863,15,11,889
Fairfield,Norwalk 140A Kendall,Governor,,WF,Dannel Malloy,36,0,0,36
Fairfield,Norwalk 140A Kendall,Governor,,PC,Joe Visconti,5,0,0,5
Fairfield,Norwalk 140A Kendall,Governor,,write-in,write-in,4,0,0,4
Fairfield,Norwalk 140B Columbus,Governor,,Rep,Thomas Foley,253,10,5,268
Fairfield,Norwalk 140B Columbus,Governor,,Ind,Thomas Foley,22,1,0,23
Fairfield,Norwalk 140B Columbus,Governor,,Dem,Dannel Malloy,1177,46,18,1241
Fairfield,Norwalk 140B Columbus,Governor,,WF,Dannel Malloy,44,7,1,52
Fairfield,Norwalk 140B Columbus,Governor,,PC,Joe Visconti,9,0,0,9
Fairfield,Norwalk 140B Columbus,Governor,,write-in,write-in,1,0,0,1
Fairfield,Norwalk 140C Nathaniel Ely,Governor,,Rep,Thomas Foley,149,10,2,161
Fairfield,Norwalk 140C Nathaniel Ely,Governor,,Ind,Thomas Foley,8,0,0,8
Fairfield,Norwalk 140C Nathaniel Ely,Governor,,Dem,Dannel Malloy,490,14,7,511
Fairfield,Norwalk 140C Nathaniel Ely,Governor,,WF,Dannel Malloy,21,1,0,22
Fairfield,Norwalk 140C Nathaniel Ely,Governor,,PC,Joe Visconti,5,2,0,7
Fairfield,Norwalk 140C Nathaniel Ely,Governor,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 142A Fox Run,Governor,,Rep,Thomas Foley,1135,60,11,1206
Fairfield,Norwalk 142A Fox Run,Governor,,Ind,Thomas Foley,43,2,0,45
Fairfield,Norwalk 142A Fox Run,Governor,,Dem,Dannel Malloy,1110,57,18,1185
Fairfield,Norwalk 142A Fox Run,Governor,,WF,Dannel Malloy,41,2,3,46
Fairfield,Norwalk 142A Fox Run,Governor,,PC,Joe Visconti,9,0,0,9
Fairfield,Norwalk 142A Fox Run,Governor,,write-in,write-in,3,0,0,3
Fairfield,Norwalk 142B Ponus,Governor,,Rep,Thomas Foley,1045,43,10,1098
Fairfield,Norwalk 142B Ponus,Governor,,Ind,Thomas Foley,34,1,0,35
Fairfield,Norwalk 142B Ponus,Governor,,Dem,Dannel Malloy,1086,46,11,1143
Fairfield,Norwalk 142B Ponus,Governor,,WF,Dannel Malloy,30,2,1,33
Fairfield,Norwalk 142B Ponus,Governor,,PC,Joe Visconti,10,0,0,10
Fairfield,Norwalk 142B Ponus,Governor,,write-in,write-in,2,0,0,2
Fairfield,Norwalk 142C West Rocks,Governor,,Rep,Thomas Foley,855,39,9,903
Fairfield,Norwalk 142C West Rocks,Governor,,Ind,Thomas Foley,32,1,0,33
Fairfield,Norwalk 142C West Rocks,Governor,,Dem,Dannel Malloy,904,45,12,961
Fairfield,Norwalk 142C West Rocks,Governor,,WF,Dannel Malloy,28,3,1,32
Fairfield,Norwalk 142C West Rocks,Governor,,PC,Joe Visconti,9,1,0,10
Fairfield,Norwalk 142C West Rocks,Governor,,write-in,write-in,6,1,0,7
Fairfield,Norwalk 141A Roton,Governor,,Rep,Thomas Foley,889,73,10,972
Fairfield,Norwalk 141A Roton,Governor,,Ind,Thomas Foley,21,3,0,24
Fairfield,Norwalk 141A Roton,Governor,,Dem,Dannel Malloy,1004,55,14,1073
Fairfield,Norwalk 141A Roton,Governor,,WF,Dannel Malloy,20,0,0,20
Fairfield,Norwalk 141A Roton,Governor,,PC,Joe Visconti,6,2,0,8
Fairfield,Norwalk 141A Roton,Governor,,write-in,write-in,1,0,0,1
Fairfield,Norwalk 143A Nathan Hale,Governor,,Rep,Thomas Foley,680,24,11,715
Fairfield,Norwalk 143A Nathan Hale,Governor,,Ind,Thomas Foley,28,0,0,28
Fairfield,Norwalk 143A Nathan Hale,Governor,,Dem,Dannel Malloy,807,28,10,845
Fairfield,Norwalk 143A Nathan Hale,Governor,,WF,Dannel Malloy,23,0,0,23
Fairfield,Norwalk 143A Nathan Hale,Governor,,PC,Joe Visconti,8,0,0,8
Fairfield,Norwalk 143A Nathan Hale,Governor,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 143B Wolfpit,Governor,,Rep,Thomas Foley,1023,45,2,1070
Fairfield,Norwalk 143B Wolfpit,Governor,,Ind,Thomas Foley,27,1,0,28
Fairfield,Norwalk 143B Wolfpit,Governor,,Dem,Dannel Malloy,860,27,5,892
Fairfield,Norwalk 143B Wolfpit,Governor,,WF,Dannel Malloy,37,0,0,37
Fairfield,Norwalk 143B Wolfpit,Governor,,PC,Joe Visconti,9,1,0,10
Fairfield,Norwalk 143B Wolfpit,Governor,,write-in,write-in,2,0,0,2
s,Norwalk 137A Marvin,US House,4,Rep,Dan Debicella,932,60,16,1008
Fairfield,Norwalk 137A Marvin,US House,4,Ind,Dan Debicella,35,3,1,39
Fairfield,Norwalk 137A Marvin,US House,4,Dem,Jim Himes,1586,77,32,1695
Fairfield,Norwalk 137A Marvin,US House,4,WF,Jim Himes,96,2,1,99
Fairfield,Norwalk 137A Marvin,US House,4,write-in,write-in,2,0,0,2
Fairfield,Norwalk 137B St Marys,US House,4,Rep,Dan Debicella,213,4,5,222
Fairfield,Norwalk 137B St Marys,US House,4,Ind,Dan Debicella,11,3,0,14
Fairfield,Norwalk 137B St Marys,US House,4,Dem,Jim Himes,642,20,18,680
Fairfield,Norwalk 137B St Marys,US House,4,WF,Jim Himes,38,2,1,41
Fairfield,Norwalk 137B St Marys,US House,4,write-in,write-in,0,0,0,0
Fairfield,Norwalk 137C Tracey,US House,4,Rep,Dan Debicella,668,26,12,706
Fairfield,Norwalk 137C Tracey,US House,4,Ind,Dan Debicella,40,0,0,40
Fairfield,Norwalk 137C Tracey,US House,4,Dem,Jim Himes,1245,43,17,1305
Fairfield,Norwalk 137C Tracey,US House,4,WF,Jim Himes,80,2,3,85
Fairfield,Norwalk 137C Tracey,US House,4,write-in,write-in,2,0,0,2
Fairfield,Norwalk 140A Kendall,US House,4,Rep,Dan Debicella,345,12,4,361
Fairfield,Norwalk 140A Kendall,US House,4,Ind,Dan Debicella,23,1,0,24
Fairfield,Norwalk 140A Kendall,US House,4,Dem,Jim Himes,896,21,11,928
Fairfield,Norwalk 140A Kendall,US House,4,WF,Jim Himes,49,0,0,49
Fairfield,Norwalk 140A Kendall,US House,4,write-in,write-in,2,0,0,2
Fairfield,Norwalk 140B Columbus,US House,4,Rep,Dan Debicella,200,9,5,214
Fairfield,Norwalk 140B Columbus,US House,4,Ind,Dan Debicella,26,1,0,27
Fairfield,Norwalk 140B Columbus,US House,4,Dem,Jim Himes,1194,46,18,1258
Fairfield,Norwalk 140B Columbus,US House,4,WF,Jim Himes,53,8,1,62
Fairfield,Norwalk 140B Columbus,US House,4,write-in,write-in,1,0,0,1
Fairfield,Norwalk 140C Nathaniel Ely,US House,4,Rep,Dan Debicella,129,7,1,137
Fairfield,Norwalk 140C Nathaniel Ely,US House,4,Ind,Dan Debicella,9,0,0,9
Fairfield,Norwalk 140C Nathaniel Ely,US House,4,Dem,Jim Himes,488,19,7,514
Fairfield,Norwalk 140C Nathaniel Ely,US House,4,WF,Jim Himes,29,1,0,30
Fairfield,Norwalk 140C Nathaniel Ely,US House,4,write-in,write-in,1,0,0,1
Fairfield,Norwalk 142A Fox Run,US House,4,Rep,Dan Debicella,1006,57,9,1072
Fairfield,Norwalk 142A Fox Run,US House,4,Ind,Dan Debicella,37,2,0,39
Fairfield,Norwalk 142A Fox Run,US House,4,Dem,Jim Himes,1190,59,18,1267
Fairfield,Norwalk 142A Fox Run,US House,4,WF,Jim Himes,66,3,3,72
Fairfield,Norwalk 142A Fox Run,US House,4,write-in,write-in,1,0,0,1
Fairfield,Norwalk 142B Ponus,US House,4,Rep,Dan Debicella,927,40,8,975
Fairfield,Norwalk 142B Ponus,US House,4,Ind,Dan Debicella,41,1,0,42
Fairfield,Norwalk 142B Ponus,US House,4,Dem,Jim Himes,1150,47,13,1210
Fairfield,Norwalk 142B Ponus,US House,4,WF,Jim Himes,52,2,1,55
Fairfield,Norwalk 142B Ponus,US House,4,write-in,write-in,1,0,0,1
Fairfield,Norwalk 142C West Rocks,US House,4,Rep,Dan Debicella,732,37,8,777
Fairfield,Norwalk 142C West Rocks,US House,4,Ind,Dan Debicella,35,1,0,36
Fairfield,Norwalk 142C West Rocks,US House,4,Dem,Jim Himes,981,49,11,1041
Fairfield,Norwalk 142C West Rocks,US House,4,WF,Jim Himes,50,2,2,54
Fairfield,Norwalk 142C West Rocks,US House,4,write-in,write-in,0,0,0,0
Fairfield,Norwalk 141A Roton,US House,4,Rep,Dan Debicella,807,62,10,879
Fairfield,Norwalk 141A Roton,US House,4,Ind,Dan Debicella,20,2,0,22
Fairfield,Norwalk 141A Roton,US House,4,Dem,Jim Himes,1065,70,14,1149
Fairfield,Norwalk 141A Roton,US House,4,WF,Jim Himes,31,0,0,31
Fairfield,Norwalk 141A Roton,US House,4,write-in,write-in,1,0,0,1
Fairfield,Norwalk 143A Nathan Hale,US House,4,Rep,Dan Debicella,588,25,10,623
Fairfield,Norwalk 143A Nathan Hale,US House,4,Ind,Dan Debicella,31,0,1,32
Fairfield,Norwalk 143A Nathan Hale,US House,4,Dem,Jim Himes,851,28,9,888
Fairfield,Norwalk 143A Nathan Hale,US House,4,WF,Jim Himes,46,0,1,47
Fairfield,Norwalk 143A Nathan Hale,US House,4,write-in,write-in,1,0,0,1
Fairfield,Norwalk 143B Wolfpit,US House,4,Rep,Dan Debicella,902,40,1,943
Fairfield,Norwalk 143B Wolfpit,US House,4,Ind,Dan Debicella,31,1,0,32
Fairfield,Norwalk 143B Wolfpit,US House,4,Dem,Jim Himes,935,31,6,972
Fairfield,Norwalk 143B Wolfpit,US House,4,WF,Jim Himes,56,2,0,58
Fairfield,Norwalk 143B Wolfpit,US House,4,write-in,write-in,0,0,0,0
Fairfield,Norwalk 137A Marvin,State Senate,25,,Bill Dunne,805,48,16,869
Fairfield,Norwalk 137A Marvin,State Senate,25,,Bob Duff,1832,90,34,1956
Fairfield,Norwalk 137A Marvin,State Senate,25,,write-in,1,0,0,1
Fairfield,Norwalk 137B St Marys,State Senate,25,,Bill Dunne,195,5,6,206
Fairfield,Norwalk 137B St Marys,State Senate,25,,Bob Duff,699,24,18,741
